cycle,sent,received,router_sent
0,1,0,0
1,1,0,0
2,2,0,0
3,2,0,1
4,2,0,1
5,3,0,1
6,3,0,1
7,3,0,1
8,3,0,1
9,3,0,1
10,3,0,1
11,3,1,2
12,4,1,2
13,4,1,2
14,4,1,2
15,4,1,2
16,4,1,2
17,4,1,2
18,4,1,2
19,4,2,3
20,5,2,3
21,5,2,3
22,5,2,3
23,5,2,3
24,5,2,3
25,5,2,3
26,5,2,3
27,5,3,4
28,5,3,4
29,5,3,4
30,5,3,4
31,5,3,4
32,5,3,4
33,5,3,4
34,5,3,4
35,5,4,5
36,5,4,5
37,5,4,5
38,5,4,5
39,5,4,5
40,5,4,5
41,5,4,5
42,5,4,5
43,5,5,5
44,6,5,5
45,6,5,5
46,6,5,5
47,6,5,6
48,7,5,6
49,8,5,6
50,8,5,6
51,8,5,6
52,8,5,6
53,8,5,6
54,8,5,6
55,8,6,7
56,9,6,7
57,9,6,7
58,9,6,7
59,9,6,7
60,9,6,7
61,9,6,7
62,9,6,7
63,9,7,8
64,10,7,8
65,10,7,8
66,10,7,8
67,10,7,8
68,10,7,8
69,10,7,8
70,10,7,8
71,10,8,9
72,11,8,9
73,11,8,9
74,11,8,9
75,11,8,9
76,11,8,9
77,11,8,9
78,11,8,9
79,11,9,10
80,11,9,10
81,11,9,10
82,11,9,10
83,11,9,10
84,11,9,10
85,11,9,10
86,11,9,10
87,11,10,11
88,11,10,11
89,11,10,11
90,11,10,11
91,11,10,11
92,11,10,11
93,11,10,11
94,11,10,11
95,11,11,11
96,11,11,11
97,11,11,11
98,11,11,11
99,13,11,11
100,13,11,11
101,13,11,11
102,13,11,12
103,14,11,12
104,14,11,12
105,14,11,12
106,14,11,12
107,14,11,12
108,14,11,12
109,14,11,12
110,14,12,13
111,15,12,13
112,15,12,13
113,15,12,13
114,15,12,13
115,15,12,13
116,15,12,13
117,15,12,13
118,15,13,14
119,15,13,14
120,16,13,14
121,16,13,14
122,16,13,14
123,16,13,14
124,16,13,14
125,16,13,14
126,16,14,15
127,16,14,15
128,16,14,15
129,16,14,15
130,16,14,15
131,16,14,15
132,16,14,15
133,16,14,15
134,16,15,16
135,16,15,16
136,16,15,16
137,16,15,16
138,16,15,16
139,16,15,16
140,16,15,16
141,16,15,16
142,17,16,16
143,17,16,16
144,17,16,16
145,17,16,17
146,18,16,17
147,19,16,17
148,19,16,17
149,19,16,17
150,19,16,17
151,19,16,17
152,19,16,17
153,19,17,18
154,20,17,18
155,20,17,18
156,20,17,18
157,20,17,18
158,20,17,18
159,20,17,18
160,20,17,18
161,20,18,19
162,21,18,19
163,21,18,19
164,21,18,19
165,21,18,19
166,21,18,19
167,21,18,19
168,21,18,19
169,21,19,20
170,21,19,20
171,22,19,20
172,22,19,20
173,22,19,20
174,22,19,20
175,22,19,20
176,22,19,20
177,22,20,21
178,22,20,21
179,22,20,21
180,22,20,21
181,23,20,21
182,23,20,21
183,23,20,21
184,23,20,21
185,23,21,22
186,23,21,22
187,23,21,22
188,23,21,22
189,23,21,22
190,23,21,22
191,23,21,22
192,23,21,22
193,23,22,23
194,24,22,23
195,24,22,23
196,24,22,23
197,25,22,23
198,25,22,23
199,25,22,23
200,25,22,23
201,25,23,24
202,26,23,24
203,26,23,24
204,26,23,24
205,26,23,24
206,26,23,24
207,26,23,24
208,26,23,24
209,26,24,25
210,27,24,25
211,27,24,25
212,27,24,25
213,27,24,25
214,27,24,25
215,27,24,25
216,27,24,25
217,27,25,26
218,28,25,26
219,28,25,26
220,28,25,26
221,28,25,26
222,28,25,26
223,28,25,26
224,28,25,26
225,28,26,27
226,28,26,27
227,28,26,27
228,28,26,27
229,28,26,27
230,28,26,27
231,28,26,27
232,29,26,27
233,29,27,28
234,29,27,28
235,29,27,28
236,29,27,28
237,29,27,28
238,29,27,28
239,29,27,28
240,29,27,28
241,29,28,29
242,29,28,29
243,29,28,29
244,29,28,29
245,29,28,29
246,30,28,29
247,31,28,29
248,31,28,29
249,31,29,30
250,32,29,30
251,32,29,30
252,32,29,30
253,32,29,30
254,32,29,30
255,32,29,30
256,32,29,30
257,32,30,31
258,33,30,31
259,33,30,31
260,33,30,31
261,33,30,31
262,33,30,31
263,33,30,31
264,33,30,31
265,33,31,32
266,34,31,32
267,34,31,32
268,34,31,32
269,34,31,32
270,34,31,32
271,34,31,32
272,34,31,32
273,34,32,33
274,35,32,33
275,35,32,33
276,35,32,33
277,35,32,33
278,35,32,33
279,35,32,33
280,35,32,33
281,35,33,34
282,35,33,34
283,35,33,34
284,35,33,34
285,35,33,34
286,35,33,34
287,35,33,34
288,35,33,34
289,35,34,35
290,35,34,35
291,35,34,35
292,35,34,35
293,35,34,35
294,35,34,35
295,36,34,35
296,37,34,35
297,37,35,35
298,37,35,36
299,37,35,36
300,37,35,36
301,38,35,36
302,38,35,36
303,38,35,36
304,38,35,36
305,38,35,36
306,38,36,37
307,39,36,37
308,39,36,37
309,39,36,37
310,39,36,37
311,39,36,37
312,39,36,37
313,39,36,37
314,39,37,38
315,40,37,38
316,40,37,38
317,40,37,38
318,40,37,38
319,40,37,38
320,40,37,38
321,40,37,38
322,40,38,39
323,41,38,39
324,41,38,39
325,41,38,39
326,41,38,39
327,41,38,39
328,41,38,39
329,41,38,39
330,41,39,40
331,41,39,40
332,41,39,40
333,41,39,40
334,41,39,40
335,41,39,40
336,41,39,40
337,41,39,40
338,41,40,41
339,41,40,41
340,41,40,41
341,41,40,41
342,41,40,41
343,41,40,41
344,42,40,41
345,43,40,41
346,43,41,41
347,43,41,42
348,43,41,42
349,43,41,42
350,43,41,42
351,44,41,42
352,44,41,42
353,44,41,42
354,44,41,42
355,44,42,43
356,45,42,43
357,45,42,43
358,45,42,43
359,45,42,43
360,45,42,43
361,45,42,43
362,45,42,43
363,45,43,44
364,46,43,44
365,46,43,44
366,46,43,44
367,46,43,44
368,46,43,44
369,46,43,44
370,46,43,44
371,46,44,45
372,47,44,45
373,47,44,45
374,47,44,45
375,47,44,45
376,47,44,45
377,47,44,45
378,47,44,45
379,47,45,46
380,47,45,46
381,47,45,46
382,47,45,46
383,47,45,46
384,47,45,46
385,47,45,46
386,47,45,46
387,47,46,47
388,47,46,47
389,47,46,47
390,47,46,47
391,47,46,47
392,48,46,47
393,48,46,47
394,49,46,47
395,49,47,48
396,49,47,48
397,49,47,48
398,50,47,48
399,50,47,48
400,50,47,48
401,50,47,48
402,50,47,48
403,50,48,49
404,50,48,49
405,50,48,49
406,51,48,49
407,51,48,49
408,51,48,49
409,51,48,49
410,51,48,49
411,51,49,50
412,52,49,50
413,52,49,50
414,52,49,50
415,52,49,50
416,52,49,50
417,52,49,50
418,52,49,50
419,52,50,51
420,53,50,51
421,53,50,51
422,53,50,51
423,53,50,51
424,53,50,51
425,53,50,51
426,53,50,51
427,53,51,52
428,53,51,52
429,53,51,52
430,53,51,52
431,53,51,52
432,53,51,52
433,53,51,52
434,53,51,52
435,53,52,53
436,53,52,53
437,53,52,53
438,53,52,53
439,53,52,53
440,53,52,53
441,54,52,53
442,54,52,53
443,54,53,53
444,54,53,54
445,55,53,54
446,55,53,54
447,56,53,54
448,56,53,54
449,56,53,54
450,56,53,54
451,56,53,54
452,56,54,55
453,56,54,55
454,57,54,55
455,57,54,55
456,57,54,55
457,57,54,55
458,57,54,55
459,57,54,55
460,57,55,56
461,58,55,56
462,58,55,56
463,58,55,56
464,58,55,56
465,58,55,56
466,58,55,56
467,58,55,56
468,58,56,57
469,59,56,57
470,59,56,57
471,59,56,57
472,59,56,57
473,59,56,57
474,59,56,57
475,59,56,57
476,59,57,58
477,60,57,58
478,60,57,58
479,60,57,58
480,60,57,58
481,60,57,58
482,60,57,58
483,60,57,58
484,60,58,59
485,60,58,59
486,60,58,59
487,60,58,59
488,60,58,59
489,60,58,59
490,60,58,59
491,60,58,59
492,60,59,60
493,60,59,60
494,60,59,60
495,60,59,60
496,61,59,60
497,61,59,60
498,61,59,60
499,61,59,60
